사건번호,물건종류,소재지,감정가(원),최저매각가(원),매각기일,유찰횟수,거리(m)
2023타경12462,아파트,경기도 수원시 영통구 영통동 1054-3 한국아파트 214동 4층405호,335000000,335000000,2026-04-20,1,2153
2024타경3939,아파트,경기도 수원시 영통구 영통동 956-2 동신아파트 315동 7층703호,1016000000,1016000000,2026-04-24,0,2015
2024타경9869,10000,경기도 수원시 영통구 원천동 406-4,2736527590,1915569000,2026-04-29,2,1377
2024타경9869,아파트,경기도 수원시 영통구 원천동 406-4,2736527590,1915569000,2026-04-29,2,1377
2024타경10029,주거용,경기도 수원시 영통구 하동 1017-4 포레나광교 40층101동4001호,1150000000,1150000000,2026-04-24,1,1403
2024타경13974,주거용,경기도 수원시 영통구 하동 1016 광교효성해링턴타워 13층에이동1311호,266000000,266000000,2026-04-24,1,1797
2024타경102171,아파트,경기도 수원시 영통구 매탄동 810-2 동남아파트 1동 8층807호,292000000,292000000,2026-04-20,1,1618
2025타경1574,아파트,경기도 수원시 영통구 매탄동 1258 매탄 에듀파크시티1 103동 17층1704호,513000000,513000000,2026-04-27,1,1829
2025타경50444,아파트,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 4층에이404호,204000000,204000000,2026-04-17,0,1693
2025타경51089,아파트,경기도 수원시 영통구 하동 1019 광교더샵레이크파크 102동 5층501호,550000000,550000000,2026-04-29,0,1692
2025타경54101,아파트,경기도 수원시 영통구 하동 1021 힐스테이트광교 105동 21층2101호,1610000000,1610000000,2026-04-29,1,1525
2025타경54320,아파트,경기도 수원시 영통구 영통동 973-3 두산아파트 801동 16층1604호,489000000,489000000,2026-04-21,1,2679
2025타경55521,주거용,경기도 수원시 영통구 하동 989 원희캐슬광교 1층에이-111호,1145000000,801500000,2026-04-28,2,2245
2025타경56486,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 221동 15층1504호,652000000,652000000,2026-04-28,1,414
2025타경57712,아파트,경기도 수원시 영통구 이의동 1351-2 광교코아루에스 15층1509호,142000000,142000000,2026-04-27,1,2444
